"","movietitle","moviedate","moviereviewer","movierate","moviereviewtitle","moviereview"
"11","avengers endgame","2019-04-26","thebigsick",0.8," neither selfcontained nor original","The film has too many references to previous Marvel films and is not friendly to those who are not Marvel fans General audiences may easily get confused what is this and why is that The story is not original either We have seen too many timetravel films such as Back to the Future and Days of Future Past This film does not offer anything new Besides the last thirty minutes are kind of redundant and the overall running time is unnecessarily long"
"12","avengers endgame","2019-04-24","mardolin",0.6," a little bit underwhelmed","Dont get me wrong the movie was great but would I watch it a second time Probably not  until the DVD comes outIve seen infinity war at least 5 times and its one of my favorite filmsThat being said i will compare the two movies for sure and I just disliked the pacing it was all over the place Some Characters felt off and some got little to no screen time where others had too muchIts just too many characters for one movie even though infinity war did it much better with just as many characters I just cant put my finger on itThe fighting scenes were alright the first half lacked action but the second half delivered some good solid scenes nothing groundbreaking but fun to watch They cant reinvent the wheel neither do they want to They stick to what works and thats alrightAll in all the movie was a close 810 the fanboys who give it a 10 are just blind to accept the mistakes the movie made Its not a perfect film even an 8 is really generous in my opinion The Movie works with nostalgia and gives fans of the MCU the things they wanted more or lessStill thinking Thor 3 was the best MCU movie Sue me"
"13","avengers endgame","2019-04-26","jalidav1980",0.4," not the endgame i hoped for","Well first off Infinity War is one of my favourite movies of all time and I feel the expectations I had built from that has impacted how I feel about this movieTheir are some really beautiful scenes and some great fan service which deserves a mention in a movie that feels like a stepping stone to promote some of the characters that recently failed in the comics We are entering the get woke go broke phase of the MCUNow onto the movieThe plot line is all over the place and they made the mistake of using time travel to fix the universes problems there are no consequences for failure anymore in the mcu because just like in Dragon all we can just Wish back all those who died Its basically Back To The Future the Thanos editionOnce again they sideline Thor and The Hulk by using them purely as a punchline for lame low IQ jokes in a corny script that feels like it is trying to be so many things but doesnt quite hit the mark Thor spends the entire movie as a whiny fat child with mommy issuesAlthough there were some very nice touching moments to the movie I feel like most of the mourning and brooding could have been condensed into a montage in order for us to see the heroes do exactly what we came to see the heroes do fight bad guys Theres very little in the way of action and because the story was so all over the place I left feeling like nothing was actually accomplished in this movieAs always Tony is amazing throwing out one liners and nicknames and Captain America is great tooOverall I really enjoyed many aspects of it but at the same time I felt like there was no control over the plot Like they were more concerned with paying homage to EVERY character ever before writing a great narrative"
"14","avengers endgame","2019-05-04","paynebyname",0.9," the writers got carried away the directors over reached and the studio sacrificed the integrity of their product","Ive just come from watching Endgame and I must say that I am disappointedI loved Civil War and I loved Infinity War When I came out of those films I knew immediately that they were great and that I wanted to see them again With Endgame Im not sureI respect how they were prepared to show the consequences of what Thanos had done but by killing him off so quickly and then them having to do their own stone quest hadnt we already seen Thanos doing this in IW it felt slow and lazy Worse still was that it felt very selfindulgent and attempting to be clever for clever sakeLike how Back to the Future II considered itself clever for showing the events of the first film but with Marty flitting around behind the scenes to ensure that it all still happened I know its meant to be fan pleasing but it really felt like a gimmick and lacking in confidence Almost like it was saying Hey guys this will make you smile If you want to make me smile concentrate on maintaining the quality of your product rather than directly trying to make me like youBut the trouble with messing around with timelines and bouncing around is that it makes the audience start asking questions during the film The linearity that wed seen in IW and the imminent fast approaching threat is replaced in Endgame with a lack of direction and characters that are earlier versions of who the audience have seenIn IW we were shown Thanos He was written to be sympathetic or at least a character that we the audience could understand He believed in what he was doing and this made him more rounded But in Endgame that version is dispatched quickly and we are supplied with a 2014  Thanos who isnt the character we know but is just a token bad guyThis Thanos hasnt made the sacrifice at Vormire he isnt the guy that would empathise with Scarlet Witch for what she did to Vision He has suddenly become a token cut out evil bad guy that needs to be defeated Hell the writers even manage to forget their own time loop by saying that this Than"
"15","avengers endgame","2019-08-01","rsvp321",0.9," half this movie is boring emotional dialogue unlike the first part all action","I have watched the first part many many times Every minute of it was accounted for with importance to the plot  not wasted on snowflake emotionsThis second half has an excellent plot but oh my  how it dragged on with talk and tearsI also didnt like Pepper suddenly being outfitted as a fighter lol And considering the future hero roles revealed in this one can we eventually expect a white Black Panther too Dont get me wrong  I dont want to see a white Black PantherSeveral other points of disappointment tooBummer"
"16","avengers endgame","2019-07-16","kriscot-48548",0.8," a must watch","great performancesincredible visualsstory ends in a way to set worth a new generation of marvel storiescharactersperfect send off for the original actorsa must see for any marvel or superhero fan"
"17","avengers endgame","2019-04-24","vert2712",0.9," the zenith of the mcu franchise","I feel like Im wasting my time writing down my thoughts about Avengers Endgame because nothing I or any critic could say about it would ever dissuade a prospective viewer from seeing it But after having had the chance to watch it at a preview screening I cant help but say a few spoilerfree wordsIm not your average fanboy  most longrunning franchises have bored me at this point and I couldnt care less about the newest Star Wars episode or whether there will be another film set in the Harry Potter universeBut Marvel films have been consistently watchable with many solid entries and a few great ones Winter Soldier Ragnarok the first Guardians of the Galaxy among others And after Infinity War ended with a cliffhanger I was looking forward to the conclusion Boy was I not disappointedVery few highlyanticipated movies live up to the hype but Avengers Endgame is one of them Its the perfect follow up to Infinity War and the absolute zenith of the Marvel franchise Its hard to see how theyll be able to top this oneIts surprisingly inventive even when you know where the story is headed the plot takes a few tangents getting there emotionally engaging a few people were crying in the theater and surprisingly funny this is probably the most Ive laughed in a Marvel film since Thor Ragnarok Visually speaking its a true spectacle topping Infinity War in the epic battle stakes and even though its three hours long it doesnt feel bloated The only times I glanced at my watch was because I was hoping there would be more time before the endYes its a superhero movie but an immensely entertaining one especially for fans who have seen all the pictures that came before it there are tons of references and inside jokes to reward the faithfulIf Return of the King managed to win Best picture at the 2003 Oscars Avengers Endgame deserves at least a nomination Its as good and in many ways better a conclusion to a fantasygenre series as the Peter Jackson filmGo see it"
"18","avengers endgame","2019-08-19","patrickpink2013",1," nothing here keep on walking","3 hours out of my life I will never get backnot worth the hype you think the soap opera is done by the ultimate battlethink again let us milk it and release another spider man geez a lou"
"19","avengers endgame","2020-03-02","leofwine_draca",1," great climax","So here we have it AVENGERS ENDGAME the expansive sequel to not only AVENGERS INFINITY WAR but also to the whole last 13 years or so of Marvel cinema Its a film that had big boots to fill but the good news is that its a complete success and every bit as enjoyable as its predecessor At three hours I wasnt sure about the pacing but even during the slower first half the viewers interest remains piqued thanks to the witty dialogue and huge cast of wellestablished characters doing their thingThe time travel plot might seem a cop out to some but I really enjoyed the way it gives characters a chance to revisit earlier productions and even allow the likes of Robert Redford to show up in clever cameos The climactic action is well worth the wait and bests the battles in LORD OF THE RINGS RETURN OF THE KING in terms of pure CGI spectacle it only took them 16 years to get it right Great fun anyway and one for the ages"
"20","avengers endgame","2021-12-23","sahil_shah-53365",0.7," epic","One of the best superhero movies I have ever watchedAll the actors really nailed their rolesEspecially my one and only favorite iron manRobert Downey Jr is irreplaceable in Iron man role"
"21","avengers endgame","2020-01-07","stream2bigscreen_movie_reviews",1," avengersendgame historic performance","Lets talk about the enormity of this film and what Marvel just accomplishedFirst this movie did not disappoint It is very hard to contemplate a movie that will ever have as much or more anticipation than Endgame Just think about the build up of this film From May 2008 to April 2019 Marvel in 21 films introduced heroes villains plots side plots family members love interests and countless Easter eggs that culminated into this filmSecond in a movie full with 10 main characters Marvel did an unbelievable job featuring each one and staying true to the characters weve all fallen in love with This point could easily be a thesis paper for a doctoral candidate The development and story arcs of characters individually and collectively in the midst of struggle and triumph is nothing short of amazing The attention to detail and thoughtful craftsmanship is true artwork One knock fans may have is the forced fandom moments We have so many beloved characters but these moments comes as certain teamup pairings during the big fight that are great but also forced and stereotypicalLastly this movie is beauty in motion Mainly the movie looks and sounds wonderful If there is one knock against the movie the final fight at points was too dark for some of the characters Otherwise the final fight displays exactly what many of the DC movies have failed with Hero power display Marvel did such a great job of making you feel every punch kick hammer throw but also made you feel like you were in motion with each character thus why I believe 4D would be very good The sound editing is very good and the song selections in this movie help the viewers follow the emotional rollercoaster ride everyone believes they are in forMarvel created near perfection for fans or a near perfect ending And the ending of this movie isnt even technically the finish to Phase 3 of their universe That would be Spiderman Homecoming coming soon Phase 4 and 5 are also already in the works Everyone that was a part of this movie"
"22","avengers endgame","2019-06-14","sajakram",0.7," these get worse","I dont really know what all the hype is about Bored watching this as its the same again just rehashed Glad to see the back of the Avengers to be honest"
"23","avengers endgame","2019-04-24","rjcattermole",0.4," the best marvel superhero movie ever and also the epic conclusion to the 21 movies in the mcu","Avengers Endgame is above all the best Marvel superhero movie to date This is also the best and epic conclusion to the 21 movies in the first 10 years of the MCU This is the epic culmination The best storytelling ever told"
"24","avengers endgame","2019-08-06","herufied",0.4," pure torture","I had to take several breaks walk the dogs play videogames and clean the house while watching this absolutely ridiculous and nonsensical pile of rubbish and now afterwards Im asking myself why I put myself through such suffering To what end I guess I was hoping there would be one scene or at least one line that put a smile on my face or made me feel anything at all except extreme pain and boredom There wasnt any of that unfortunately so I just wasted three hours of my life I could have spent on basically anything else and it would have been more worth while I cant decide which one was more painful to watch this or Aquaman Both equally and utterly disappointing I guess"
"25","avengers endgame","2019-05-06","jtindahouse",1," time travel is such a lazy way to write stories","Only a month or so back I was talking to a friend about how much I hate it when serious movies use time travel to get their characters out of problems I have no problem with movies like Back to the Future or Hot Tub Time Machine that are both comedy based and use the time machine as a plot for the movie as opposed to a solution for characters problems When a serious movie uses it though it as lazy as writing as dream sequence in my opinionAt the end of the day though that just underlines the problem with these movies The heroes are far too powerful Whatever power they need they simply possess conveniently Heck Dr Strange can even see into the future to know exactly what to do to make sure everything turns out alright If that isnt the stupidest thing Ive ever seen in a movie I dont know what isI felt like the movie went very much as expected as well Sure some characters die however they were pretty much telegraphed to do so long before the movie came out There also seemed to be a lack of conflict as key moments A lot of things went far too smoothly for my liking in terms of the plan Finally the ending with Iron Man simply pulling the glove off Thanos  what the hell was that Was that supposed to be clever writing Thanos just standing there for an eternity doing nothing waiting for someone to stop himA lot of the jokes failed to land too This was a surprisingly unfunny movie In a 3 hour movie I got maybe 3 light chuckles out of the film Every joke just felt so forced and some of the characters who dont have a comedy background delivered them very poorly Avengers Endgame is three hours of my life I would like back"
"26","avengers endgame","2019-05-06","jtindahouse",1," time travel is such a lazy way to write stories","Only a month or so back I was talking to a friend about how much I hate it when serious movies use time travel to get their characters out of problems I have no problem with movies like Back to the Future or Hot Tub Time Machine that are both comedy based and use the time machine as a plot for the movie as opposed to a solution for characters problems When a serious movie uses it though it as lazy as writing as dream sequence in my opinionAt the end of the day though that just underlines the problem with these movies The heroes are far too powerful Whatever power they need they simply possess conveniently Heck Dr Strange can even see into the future to know exactly what to do to make sure everything turns out alright If that isnt the stupidest thing Ive ever seen in a movie I dont know what isI felt like the movie went very much as expected as well Sure some characters die however they were pretty much telegraphed to do so long before the movie came out There also seemed to be a lack of conflict as key moments A lot of things went far too smoothly for my liking in terms of the plan Finally the ending with Iron Man simply pulling the glove off Thanos  what the hell was that Was that supposed to be clever writing Thanos just standing there for an eternity doing nothing waiting for someone to stop himA lot of the jokes failed to land too This was a surprisingly unfunny movie In a 3 hour movie I got maybe 3 light chuckles out of the film Every joke just felt so forced and some of the characters who dont have a comedy background delivered them very poorly Avengers Endgame is three hours of my life I would like back"
"27","avengers endgame","2019-05-08","salirocket",1," this boring marvel film is not right for you the directorwriter wants to steal your money for no story","Dont trust the highest scores trust the bad review Its waste three hours film and bad storyline not make any sense and confused I dont understand why people likes it I didnt cry or laugh but felt sleepyHere are the few things that I dont like the movie1 Too many superheroes against baby Thanos2 Timeline  That is cheating and all the superheroes stills lose3 Its not an action film it more likes dramascifi film4 Natasha black widow didnt have to die she should uses Red skull5 Thor and Hulk are lazy and they are no need to be in the film and possibly the other superheroes6 What is Rocket doing Why did he need to travel in time7 Ironman didnt have to put the glove on but use the remote control to snap the fingerI cant think of what else to write here but if you want to watch this its better to wait for rental dvddigital to save your money"
"28","avengers endgame","2022-03-10","sophiakjaer",1," amazing","THE STORY IS VERY WELL BUILTTHE CHEMISTRY OF THE CHARACTERS IS GREATCGI IS GOODTHE PERFORMANCE IS GOODIT WAS A GREAT LAST CHAPTER AFTER THIS FILMuDIDNT WATCH ANYTHING ABOUT MARVEL BECAUSE NOW IT JUST MAKES GARBAGE"
"29","avengers endgame","2023-04-23","sabujsheikhsb",1," avengers endgame is simply the most marvelous superhero film ever made","Avengers Endgame is simply the most marvelous superhero film ever made This epic cinematic masterpiece from the Marvel Studios is undoubtedly the greatest achievement in the entire Marvel Cinematic Universe Directed by the Russo brothers this movie is the culmination of more than a decade of storytelling that is both thrilling and emotional The excellent cast including Robert Downey Jr Chris Evans and Scarlett Johansson gives an outstanding performance ensuring that the emotional core of this film is as strong as its action sequences The films pacing is perfect and the storyline is outstanding with engaging and thrilling twists and turns that will leave you on the edge of your seat throughout its runtime The visual effects are also exceptional with outstanding action sequences that are both intense and aweinspiring In conclusion Avengers Endgame is an epic and satisfying conclusion to the Marvel Cinematic Universe that is deserving of its spot as the highestgrossing film of all time A perfect 1010 rating is without a doubt given to this phenomenal film"
"30","avengers endgame","2019-05-20","layanalshehriii",0.9," j","It was perfect i had so much fun while watching the movie its been 3 hours but we didnt feel every one in the cinema cried and laughed and I liked how when tony stark is dead there wasnt a drama and his wife when she tells him everything will be okay and the sceine after tony stark died when he said i love 3000EVERYTHING WAS PERFECT"
"31","avengers endgame","2020-01-09","comicnerd-22808",0.6," the end of a saga and the beginning for another","Avengers Endgame is quite possibly the most hyped up movie of all time The excitement surrounding this films release is a dream come true for Marvel Studios and Disney With that being said I have looked forward to this film since it was called Infinity War Part 2 back in 2015 or so I really enjoyed my time watching this and it marked the end of an era I finally realized a couple years ago how much the MCU means to me and how much these characters mean to me that I gladly would accept anything this movie didThe CGI was good but the green screen showed a little bit meaning the backgrounds looked fake sometimes the performances from Robert Downey Jr and Chris Evans were great because they treated this movie seriously the cameos in here felt welcomed and the amount of locations in this movie really make it feel like the Avengers are desperate to go anywhere and do anything to save their fallen friends With all this being said this is a very well made movie worth your time and money"
"32","avengers endgame","2019-08-02","ferdmalenfant",0.9," just terrible","Theyve really scrapped the bottom with this one Oh so Bad"
"33","avengers endgame","2019-09-02","snowraven69",0.6," really disappointed","The dumbing down of Hulk and ruining his character by turning him into an utter wimp turning Thor into a bumbling drunkard really Well done Disney on ruining yet another couple of heros characters See Luke Skywalker and Yoda in Disneys Last Jedi for extra confirmation of this Thats all Ive got to say about this movie"
"34","avengers endgame","2019-08-22","randomstuff101",0.4," slighty awkward or boring at times slow dialog some cool stuff","Unfortunately clumsy I enjoyed all previous Avengers and a few scenes in this are very cool and funny but this one lowers the bar overall For me the story petered out instead of maintained momentum from previous movies The dialogue struggles to be interesting boring sequences at timeClumsy Avengers fit awkwardly together for group photo like bad high school reunion That said I enjoy Avengers like everyone else for years just not this one so muchThe superpower woman Capt Marvel her powers are overdone Too simplistic too much power No reason for her to lose any fightWas a big collective of all heroes even necessary Sort of not reallySome scenes linger way too long drawing out already thin content And where was Dr Strange He hardly had anything to say and very brief appearance yet he was in possession of crucial aspect of story"
"35","avengers endgame","2019-05-12","ravi2445",1," very disappointing","Right in the beginning you know how the movie is going to endthe good guys are going to win How anticlimactic that was The stage is not set right half of all humanity is gone but the enormity of that is not exploredwhen you have Thanos give his explanation as to why he did what he did I found myself thinking  well he actually has a pointIn the meanwhile every single superhero is given time to fight say some cute things some say a few smart things a few even manage to say profoundly philosophical statementsThe quantum physics explanations used to explain how things are done are plainly non sense they just made stuff up as they went onAlls well that ends well Except we spent 3 hours to find that out"
"36","avengers endgame","2019-05-04","sebastianjohnayres",0.8," worst marvel yet","Honestly felt like a completely different film from Avengers Infinity War In fact the film had such a different tone from all the Marvel films beforeThe characters changed the story line was poor Incredibly disappointing end to phase three"
"37","avengers endgame","2019-04-30","majoreasy",1," good but a mess in the story department","A nice production for those only interested in action sequences but not so great for those wanting closure of the Marvel story lineThe best part of the film is that it brings together all previous Marvel movies to drive the plot And the worst part of the film is it brings together all previous marvel movies to drive the plot because it seems the production team dont really know the stories that ran beforeAnyone who follows the stories from the movies not the comic will know there are much easier time points to collect each of the stones The drama created by making this collection plan much more difficult than it needed to be added at least an unnecessary hour to the movieOther plot points that didnt sit well with me and reduced the enjoyment of the movie are1 Thanos killed 50 of the good guys and hes hailed as a super villain Tony killed 100 of the bad guys and hes a hero Dont heroes learn from their own pain and sufferings and on principal refuse to inflict the same misery on othersSurely other than Thanos and a few of his more loyal subjects the rest are simply following ordersOn another tangent Thanos seems to really believe in his cause because after he killed off half the universe including his people I believe he lived alone and not with an army of servants and subjects for him to rule as a king Thats honourable2 they didnt reverse time Just brought everyone back with a 5 year time gap People should not behave normally when loved ones they havent been with for 5 years suddenly reappear Those who have survived those 5 years didnt get their memories and aging removed right3 how did Thanos and his gang all time travel while the avengers are so calculative about one person 2 tripsA 30 second segment showing Thanos instructing his people to mass produce the Pym solution for time travel would have closed this plot hole4 always disliked Captain Marvel because she is so powerful that no other super heros need to existAnd still She is so concerned about other worlds th"
"38","avengers endgame","2019-05-04","kaintrust",0.8," 25 hours of dramas and flashbacks torture with 30 min of action","Nowadays it is like a crime to say bad things against Marvel movies but someone has to tell the truthThis movie is extremely overhyped The first 2 hours there was almost no action it was unnecessary endless dialogs flashbacks and seconds chancesWhen we thought we gonna see some action it took 30 min only And then back to aftermath dramas againI like dramas and deep stories in the movies but we already know these characters stories why to overextend that muchActing was empty and going nowhere CGI was almost none since there was a limited actionIf it was up to me i would wait for torrents buy my gf wanted to see so much and in the end she also got disappointed"
"39","avengers endgame","2021-03-25","jamiepick-16042",1," overrated","The Most Overrated Movie Of All Time Will Always be the Most Overrated and most Forgettable Movie Of all Time"
"40","avengers endgame","2019-04-26","moneypennycharley",1," avengers contradictiongame","Personally I found it mediocre at best Too many contradictions to count So thors hammer DOES grant him the power of lightning I know Odin tells thor that it doesnt give him those powers but only helps him channel them so what cap has had that ability the whole time but saved it or never knew till now And whats with the whole changing the past doesnt change the future How does anything they do then accomplish anything And why does nebulas eye thing just conveniently decide to play the most incriminating thing possible when it could play anything in reality Im glad at least that the 1 dimensional captain marvel was not present most of the film that at least was a plus And further more why was tony seemingly un injured from the stones yet died Is he a god and we never knew Half god quil was nearly turned to ash from just one in seconds tony used them all I just dont how they ended up deciding to go down some of these paths Its like they never saw any of the past movies And hulkbruce Beta Hulk What ever he is he managed to find a way to be more useless than in the last film Seriously what did he even do other than the first fix snap Why not let thor do it I think he could take the power of it if he can handle the full force of a stars radiation in the vaccum of space And then cap just stays in the past like an a hole and watched all this horrible stuff unfold How did any of the events that led up to it happen then with out him They never needed him at all And if you cant change the past then how does he stay and literally change the past by being in it Too many self creating paradoxes that they basically tell you to screw yourself if you start asking wait but why All in all I think what we experienced here is they peaked with infinity war and cant make something as good I mean cmon thanos had the personality of a lobster in this film It felt like we were dealing with an unknown enemy yet we do know him and Gamora died in infinity war yet never comes back Why Because it "
"41","avengers endgame","2019-04-26","eandros-77451",0.6," epic ending","Thank you Marvel End Game is an ending that give me speechless"
"42","avengers endgame","2019-04-30","james-84287",1," huge fan left underwhelmed","I went in with the highest expectations and came out underwhelmed and disappointed its nowhere near as good as infinity war "
"43","avengers endgame","2019-04-26","asassandroo",0.6," best end of an era","You can not imagine how this movie is going to be good unless you watch it first It had everything that a movie should have The visuals and the sounds However the Drama factor has played it well this time as in Avengers infinity warFirst it gets you back when Thanos erased 50 of the creatures in the universe It starts with Barton and his familys being erased  Clint Barton was not in Infinity war And then it goes to the story where is Tony stark is stuck in the space with Nebula And he doesnt know anything about what happened to the earth and if his friends and lovers are still alive Here when Captain Marvel appears to be the savior and gets him and Nebula safe to the earthThe members of the team that still alive wants to have the infinity stones again to make everything as normal as it was by killing Thanos and get the stones out of his hand Nebula and Captain Marvel help to find Thanos spot as its been not found after he erased the half of the creatures in the universe They go to where he settles But before that you can see thanos is really affected with burns over all his body He goes to his hut and there is a light coming at him with any warning and hits him and Captain Marvel tries to grap him and stable him The other team are making to get his glove and they do when Thor cuts his hand Sadly the glove is empty and there was no stones on it Thanos said that he use the stones to destroy the stones and that is why he gets affected by it which made him inevitable Thor cuts thanos head And the end of the scene where rocket said why did you do that and thor says i went for the headAfter 5 years when everyone leaves and having no hope to get everything back Scott lang AntMan gets out of the quantum world and get back to the earth after 5 years He thinks that it is just 5 hours no more He has no idea what is going on and hardly trying to figure it out He still has hope for the Avengers to comeback even stronger with his idea of time traveling through the quantum leap th"
"44","avengers endgame","2019-04-27","marcusnichols",0.2," really marvel poor poor movie to end on","I dont know where to startPlot holes all the way throughTwo of the strongest Avengers might as well have not bothered Thor and Hulk are rubbish in this movie Danvers Forget it Saved tony smashed a ship but Thanos can still throw her about So we travelled through the quantum realm but had the time stone early why not use that The Mjolnir and Caps Shield change of ownership just annoyed me But my biggest Disappointment was how they didnt use Thor or Hulk Hulk has been sold out massively in the MCU and it sucks I could go on all day The more I think about it the less I like it Thats me done with Marvel now RIP Stan Lee"
"45","avengers endgame","2019-07-28","hypercube001",1," the end that never comes","Watching Avengers Endgame started as a nice story that soon became boring and predictable The problem is that its supposed to end an era to be a big moment before the curtain fall but instead tries to pave the way for Marvell phase 4 There were some interesting moments some funny moments that really made me smile but at the end it all fell flat Flat as a rug They tried to cram each and everyone in the movie but in my opinion it feels fake like parading with fake cardboard masks The CGIfest soon became boringexcept for the deaging of Michael Douglas that was 100 uncanny valley material I was watching it feeling nothing feeling dead inside Then the woke trend rear its ugly head Anyway its safe to say that Ill avoid Marvel in the future The Endgame should stay the endgame Its time to move on"
"46","avengers endgame","2021-09-25","miniminnie-23063",1," epic movie","As always avengers didnt disappoint even with a few loops or inconsistencies Hope marvel does more movies about some characters from avengers"
"47","avengers endgame","2019-06-14","recycledmediaz",1," youre joking right","This movie was a terrible mess from start to finish"
"48","avengers endgame","2019-05-04","kokorikos",1," time travel ideal for plot holes","Time travel destroys any filmtime travel doesnt exist in the physical worldits an invention of writers and authors to close plot holes and impress audiancesso any film or book containing time travel IS A MESS so i dont see any reason to grade this movie more than 2 starscgi fights ok  but a real good movie must have a believable story for me sorry it didnt workquestionwhy thor and hulk had to be humiliated so much in this movie  why toni stark had to die to offer the framatic essence to the storyis this the end of marvel heroes"
