"","title","author","subject","abstract","meta"
"11","An Approximation Based Theory of Linear Regression","Laurie Davies","Methodology (stat.ME)","The goal of this paper is to provide a theory linear regression based entirely on approximations. It will be argued that the standard linear regression model based theory whether frequentist or Bayesian has failed and that this failure is due to an 'assumed (revealed?) truth' (John Tukey) attitude to the models. This is reflected in the language of statistical inference which involves a concept of truth, for example efficiency, consistency and hypothesis testing. The motivation behind this paper was to remove the word `true' from the theory and practice of linear regression and to replace it by approximation. The approximations considered are the least squares approximations. An approximation is called valid if it contains no irrelevant covariates. This is operationalized using the concept of a Gaussian P-value which is the probability that pure Gaussian noise is better in term of least squares than the covariate. The precise definition given in the paper is intuitive and requires only four simple equations. Given this a valid approximation is one where all the Gaussian P-values are less than a threshold $p0$ specified by the statistician, in this paper with the default value 0.01. This approximations approach is not only much simpler it is overwhelmingly better than the standard model based approach. This will be demonstrated using six real data sets, four from high dimensional regression and two from vector autoregression. Both the simplicity and the superiority of Gaussian P-values derive from their universal exactness and validity. This is in complete contrast to standard F P-values which are valid only for carefully designed simulations. The paper contains excerpts from an unpublished paper by John Tukey entitled `Issues relevant to an honest account of data-based inference partially in the light of Laurie Davies's paper'.","Thu, 15 Feb 2024 10:23:48 UTC (702 KB)"
"12","Permittivity Estimation in Ray-tracing Using Path Loss Data based on GAMP","Yuanhao Jiang, Shidong Zhou, Xiaofeng Zhong","Signal Processing (eess.SP)","In this paper, we propose a modified Generalized Approximate Message Passing (GAMP) algorithm to estimate permittivity parameters using path loss data in ray-tracing model.","Wed, 14 Feb 2024 13:43:10 UTC (76 KB)"
"13","Comparing skill of historical rainfall data based monsoon rainfall prediction in India with NCEP-NWP forecasts","Apoorva Narula, Aastha Jain, Jatin Batra, Sandeep Juneja","Machine Learning (cs.LG)","In this draft we consider the problem of forecasting rainfall across India during the four monsoon months, one day as well as three days in advance. We train neural networks using historical daily gridded precipitation data for India obtained from IMD for the time period $1901- 2022$, at a spatial resolution of $1^{\circ} \times 1^{\circ}$. This is compared with the numerical weather prediction (NWP) forecasts obtained from NCEP (National Centre for Environmental Prediction) available for the period 2011-2022. We conduct a detailed country wide analysis and separately analyze some of the most populated cities in India. Our conclusion is that forecasts obtained by applying deep learning to historical rainfall data are more accurate compared to NWP forecasts as well as predictions based on persistence. On average, compared to our predictions, forecasts from NCEP-NWP model have about 34% higher error for a single day prediction, and over 68% higher error for a three day prediction. Similarly, persistence estimates report a 29% higher error in a single day forecast, and over 54% error in a three day forecast. We further observe that data up to 20 days in the past is useful in reducing errors of one and three day forecasts, when a transformer based learning architecture, and to a lesser extent when an LSTM is used. A key conclusion suggested by our preliminary analysis is that NWP forecasts can be substantially improved upon through more and diverse data relevant to monsoon prediction combined with carefully selected neural network architecture.","Mon, 12 Feb 2024 17:59:20 UTC (27,478 KB)"
"14","Physics-informed machine learning as a kernel method","Nathan Doumèche (LPSM, EDF R&D OSIRIS), Francis Bach (DI-ENS), Claire Boyer (IUF, LPSM), Gérard Biau (LPSM)","Artificial Intelligence (cs.AI)","Physics-informed machine learning combines the expressiveness of data-based approaches with the interpretability of physical models. In this context, we consider a general regression problem where the empirical risk is regularized by a partial differential equation that quantifies the physical inconsistency. We prove that for linear differential priors, the problem can be formulated as a kernel regression task. Taking advantage of kernel theory, we derive convergence rates for the minimizer of the regularized risk and show that it converges at least at the Sobolev minimax rate. However, faster rates can be achieved, depending on the physical error. This principle is illustrated with a one-dimensional example, supporting the claim that regularizing the empirical risk with physical information can be beneficial to the statistical performance of estimators.","Mon, 12 Feb 2024 09:38:42 UTC (1,863 KB)"
"15","Multi-class real-time crash risk forecasting using convolutional neural network: Istanbul case study","Behnaz Alafi, Saeid Moradi","Machine Learning (cs.LG)","The performance of an artificial neural network (ANN) in forecasting crash risk is shown in this paper. To begin, some traffic and weather data are acquired as raw data. This data is then analyzed, and relevant characteristics are chosen to utilize as input data based on additional tree and Pearson correlation. Furthermore, crash and non-crash time data are separated; then, feature values for crash and non-crash events are written in three four-minute intervals prior to the crash and non-crash events using the average of all available values for that period. The number of non-crash samples was lowered after calculating crash likelihood for each period based on accident labeling. The proposed CNN model is capable of learning from recorded, processed, and categorized input characteristics such as traffic characteristics and meteorological conditions. The goal of this work is to forecast the chance of a real-time crash based on three periods before events. The area under the curve (AUC) for the receiver operating characteristic curve (ROC curve), as well as sensitivity as the true positive rate and specificity as the false positive rate, are shown and compared with three typical machine learning and neural network models. Finally, when it comes to the error value, AUC, sensitivity, and specificity parameters as performance variables, the executed model outperforms other models. The findings of this research suggest applying the CNN model as a multi-class prediction model for real-time crash risk prediction. Our emphasis is on multi-class prediction, while prior research used this for binary (two-class) categorization like crash and non-crash.","Fri, 9 Feb 2024 10:51:09 UTC (1,147 KB)"
"16","Neuronal functional connectivity graph estimation with the R package neurofuncon","Lauren Miako Beede, Giuseppe Vinci","Neurons and Cognition (q-bio.NC)","Researchers continue exploring neurons' intricate patterns of activity in the cerebral visual cortex in response to visual stimuli. The way neurons communicate and optimize their interactions with each other under different experimental conditions remains a topic of active investigation. Probabilistic Graphical Models are invaluable tools in neuroscience research, as they let us identify the functional connections, or conditional statistical dependencies, between neurons. Graphical models represent these connections as a graph, where nodes represent neurons and edges indicate the presence of functional connections between them. We developed the R package neurofuncon for the computation and visualization of functional connectivity graphs from large-scale data based on the Graphical lasso. We illustrate the use of this package with publicly available two-photon calcium microscopy imaging data from approximately 10000 neurons in a 1mm cubic section of a mouse visual cortex.","Thu, 8 Feb 2024 18:42:04 UTC (1,656 KB)"
"17","Nature of the diffuse emission sources in the H I supershell in the galaxy IC 1613","Anastasiya D. Yarovova, Alexei V. Moiseev, Ivan S. Gerasimov, Milica M. Vučetić, Oleg V. Egorov, Dragana Ilić, Ilya A. Mereminskiy, Yury V. Pakhomov, Olga N. Sholukhova","Astrophysics of Galaxies (astro-ph.GA)","We present a study of the nearby low-metallicity dwarf galaxy IC 1613, focusing on the search for massive stars and related feedback processes, as well as for faint supernova remnants (SNR) in late stages of evolution. We obtained the deepest images of IC 1613 in the narrow-band H{\alpha}, He II and [S II] emission lines and new long-slit spectroscopy observations using several facilities (6-m BTA, 2.5m SAI MSU, and 150RTT telescopes), in combination with the multi-wavelength archival data from MUSE/VLT, VLA, XMM-Newton, and Swift/XRT. Our deep narrow-band photometry identifies several faint shells in the galaxy, and we further investigate their physical characteristics with the new long-slit spectroscopy observations and the archival multi-wavelength data. Based on energy balance calculations and assumptions about their possible nature, we propose that one of the shells is a possible remnant of a supernova explosion. We study five out of eight Wolf-Rayet (WR) star candidates previously published for this galaxy using the He ii emission line mapping, MUSE/VLT archival spectra, and new long-slit spectra. Our analysis discards the considered WR candidates and finds no new ones. We found P Cyg profiles in H{\alpha} line in two stars, which we classify as Luminous Blue Variable (LBV) star candidates. Overall, the galaxy IC 1613 may have a lower rate of WR star formation than previously suggested.","Wed, 7 Feb 2024 18:57:52 UTC (5,068 KB)"
"18","Competitive advantage of URLLC vs. eMBB for supporting timeliness-relevant services","Luis Guijarro, Jose-Ramon Vidal, Vicent Pla","Networking and Internet Architecture (cs.NI)","5G specifications promise a common and flexible-enough network infrastructure capable of satisfying diverse requirements of both current and future use cases. Two service types standardized in 5G are eMBB, without stringent delay guarantee, and URLLC, with stringent delay guarantee. We focus on a use case where data timeliness is the relevant quality parameter. We provide an economic rationale for the support of data-based services, that is, from the point of view of the profits attained by the service providers and operators (SP). More specifically, we focus on data-based services the quality of which is related to the Age of Information, and we assess two alternatives for the support of this sort of services by means of a 5G network: one that is based on the eMBB service type, and one that is based on the URLLC service type. These assessment is conducted in a duopoly scenario. We conclude that URLLC support provides a competitive advantage to an SP against a competitor SP that supports its service offering on eMBB. And that there is a slightly better situation for the users when the URLLC QoS constraint is stringent.","Tue, 6 Feb 2024 11:44:50 UTC (441 KB)"
"19","Absolute convergence and error thresholds in non-active adaptive sampling","Manuel Vilares Ferro, Victor M. Darriba Bilbao, Jesús Vilares Ferro","Computation and Language (cs.CL)","Non-active adaptive sampling is a way of building machine learning models from a training data base which are supposed to dynamically and automatically derive guaranteed sample size. In this context and regardless of the strategy used in both scheduling and generating of weak predictors, a proposal for calculating absolute convergence and error thresholds is described. We not only make it possible to establish when the quality of the model no longer increases, but also supplies a proximity condition to estimate in absolute terms how close it is to achieving such a goal, thus supporting decision making for fine-tuning learning parameters in model selection. The technique proves its correctness and completeness with respect to our working hypotheses, in addition to strengthening the robustness of the sampling scheme. Tests meet our expectations and illustrate the proposal in the domain of natural language processing, taking the generation of part-of-speech taggers as case study.","Sun, 4 Feb 2024 15:10:34 UTC (688 KB)"
"20","Adaptive scheduling for adaptive sampling in POS taggers construction","Manuel Vilares Ferro, Victor M. Darriba Bilbao, Jesús Vilares Ferro","Computation and Language (cs.CL)","We introduce an adaptive scheduling for adaptive sampling as a novel way of machine learning in the construction of part-of-speech taggers. The goal is to speed up the training on large data sets, without significant loss of performance with regard to an optimal configuration. In contrast to previous methods using a random, fixed or regularly rising spacing between the instances, ours analyzes the shape of the learning curve geometrically in conjunction with a functional model to increase or decrease it at any time. The algorithm proves to be formally correct regarding our working hypotheses. Namely, given a case, the following one is the nearest ensuring a net gain of learning ability from the former, it being possible to modulate the level of requirement for this condition. We also improve the robustness of sampling by paying greater attention to those regions of the training data base subject to a temporary inflation in performance, thus preventing the learning from stopping prematurely. The proposal has been evaluated on the basis of its reliability to identify the convergence of models, corroborating our expectations. While a concrete halting condition is used for testing, users can choose any condition whatsoever to suit their own specific needs.","Sun, 4 Feb 2024 15:02:17 UTC (590 KB)"
"21","Modeling of learning curves with applications to pos tagging","Manuel Vilares Ferro, Victor M. Darriba Bilbao, Francisco J. Ribadas Pena","Computation and Language (cs.CL)","An algorithm to estimate the evolution of learning curves on the whole of a training data base, based on the results obtained from a portion and using a functional strategy, is introduced. We approximate iteratively the sought value at the desired time, independently of the learning technique used and once a point in the process, called prediction level, has been passed. The proposal proves to be formally correct with respect to our working hypotheses and includes a reliable proximity condition. This allows the user to fix a convergence threshold with respect to the accuracy finally achievable, which extends the concept of stopping criterion and seems to be effective even in the presence of distorting observations. Our aim is to evaluate the training effort, supporting decision making in order to reduce the need for both human and computational resources during the learning process. The proposal is of interest in at least three operational procedures. The first is the anticipation of accuracy gain, with the purpose of measuring how much work is needed to achieve a certain degree of performance. The second relates the comparison of efficiency between systems at training time, with the objective of completing this task only for the one that best suits our requirements. The prediction of accuracy is also a valuable item of information for customizing systems, since we can estimate in advance the impact of settings on both the performance and the development costs. Using the generation of part-of-speech taggers as an example application, the experimental results are consistent with our expectations.","Sun, 4 Feb 2024 15:00:52 UTC (397 KB)"
"22","Baryon Spin and Emergent Hadron Mass","Peng Cheng","High Energy Physics - Phenomenology (hep-ph)","This thesis describes the use of Dyson-Schwinger equations (DSEs) to study baryon bound states in QCD. In this work, octet baryon axial form factors are calculated using a symmetry-preserving treatment of a vector $\times$ vector contact interaction (SCI). The baryons are considered as quark-plus-interacting-diquark bound states, whose structure (wave function) is obtained by solving a Poincaré-covariant Faddeev equation. Since it preserves symmetries, all consequences of partial conservation of the axial current are manifest. For instance, one finds that octet baryon axial properties are consistent with only minor violations of SU(3)-flavour symmetry, being interpreted as a dynamical consequence of emergent hadron mass (EHM). Considering neutral axial currents, the SCI delivers predictions for the flavour separation of octet baryon axial charges and, consequently, produces values for the associated SU(3) singlet, triplet, and octet axial charges. The results indicate that, at the hadron scale $\zeta_{\mathcal{H}}$, valence degrees of freedom carry approximately $50\%$ of an octet baryon's total spin. Proton structure is one of the principal topics in hadron physics. Its study is expected to reveal key features of both the origin of mass and strong interaction dynamics. This work therefore extended the above analyses to an examination of in-proton parton helicity (spin) distribution functions (DFs). Using Ansätze for hadron-scale proton polarised valence quark DFs, predictions are delivered for all proton polarised DFs at the measurement scale $\zeta_{\rm C}^2 = 3\,$GeV$^2$. The pointwise behaviour of the predicted DFs and, consequently, their moments, shows good agreement with results inferred from data. Based on these results, one finds that experimental measurements of the proton flavour-singlet axial charge should return a value $a_0^{\rm E}(\zeta_{\rm C}) = 0.35(2)$.","Fri, 2 Feb 2024 13:57:29 UTC (1,890 KB)"
"23","A comparison study of supervised learning techniques for the approximation of high dimensional functions and feedback control","Mathias Oster, Luca Saluzzi, Tizian Wenzel","Numerical Analysis (math.NA)","Approximation of high dimensional functions is in the focus of machine learning and data-based scientific computing. In many applications, empirical risk minimisation techniques over nonlinear model classes are employed. Neural networks, kernel methods and tensor decomposition techniques are among the most popular model classes. We provide a numerical study comparing the performance of these methods on various high-dimensional functions with focus on optimal control problems, where the collection of the dataset is based on the application of the State-Dependent Riccati Equation.","Fri, 2 Feb 2024 13:35:05 UTC (2,722 KB)"
"24","Spatial-temporal-demand clustering for solving large-scale vehicle routing problems with time windows","Christoph Kerscher, Stefan Minner","Artificial Intelligence (cs.AI)","Several metaheuristics use decomposition and pruning strategies to solve large-scale instances of the vehicle routing problem (VRP). Those complexity reduction techniques often rely on simple, problem-specific rules. However, the growth in available data and advances in computer hardware enable data-based approaches that use machine learning (ML) to improve scalability of solution algorithms. We propose a decompose-route-improve (DRI) framework that groups customers using clustering. Its similarity metric incorporates customers' spatial, temporal, and demand data and is formulated to reflect the problem's objective function and constraints. The resulting sub-routing problems can independently be solved using any suitable algorithm. We apply pruned local search (LS) between solved subproblems to improve the overall solution. Pruning is based on customers' similarity information obtained in the decomposition phase. In a computational study, we parameterize and compare existing clustering algorithms and benchmark the DRI against the Hybrid Genetic Search (HGS) of Vidal et al. (2013). Results show that our data-based approach outperforms classic cluster-first, route-second approaches solely based on customers' spatial information. The newly introduced similarity metric forms separate sub-VRPs and improves the selection of LS moves in the improvement phase. Thus, the DRI scales existing metaheuristics to achieve high-quality solutions faster for large-scale VRPs by efficiently reducing complexity. Further, the DRI can be easily adapted to various solution methods and VRP characteristics, such as distribution of customer locations and demands, depot location, and different time window scenarios, making it a generalizable approach to solving routing problems.","Sat, 20 Jan 2024 06:06:01 UTC (327 KB)"
"25","Projection-based reduced order modeling and data-driven artificial viscosity closures for incompressible fluid flows","Aviral Prakash, Yongjie Jessica Zhang","Fluid Dynamics (physics.flu-dyn)","Projection-based reduced order models rely on offline-online model decomposition, where the data-based energetic spatial basis is used in the expensive offline stage to obtain equations of reduced states that evolve in time during the inexpensive online stage. The online stage requires a solution method for the dynamic evolution of the coupled system of pressure and velocity states for incompressible fluid flows. The first contribution of this article is to demonstrate the applicability of the incremental pressure correction scheme for the dynamic evolution of pressure and velocity states. The evolution of a large number of these reduced states in the online stage can be expensive. In contrast, the accuracy significantly decreases if only a few reduced states are considered while not accounting for the interactions between unresolved and resolved states. The second contribution of this article is to compare three closure model forms based on global, modal and tensor artificial viscosity approximation to account for these interactions. The unknown model parameters are determined using two calibration techniques: least squares minimization of error in energy approximation and closure term approximation. This article demonstrates that an appropriate selection of solution methods and data-driven artificial viscosity closure models is essential for consistently accurate dynamics forecasting of incompressible fluid flows.","Tue, 30 Jan 2024 19:09:36 UTC (4,311 KB)"
"26","Explainable data-driven modeling via mixture of experts: towards effective blending of grey and black-box models","Jessica Leoni, Valentina Breschi, Simone Formentin, Mara Tanelli","Machine Learning (cs.LG)","Traditional models grounded in first principles often struggle with accuracy as the system's complexity increases. Conversely, machine learning approaches, while powerful, face challenges in interpretability and in handling physical constraints. Efforts to combine these models often often stumble upon difficulties in finding a balance between accuracy and complexity. To address these issues, we propose a comprehensive framework based on a ""mixture of experts"" rationale. This approach enables the data-based fusion of diverse local models, leveraging the full potential of first-principle-based priors. Our solution allows independent training of experts, drawing on techniques from both machine learning and system identification, and it supports both collaborative and competitive learning paradigms. To enhance interpretability, we penalize abrupt variations in the expert's combination. Experimental results validate the effectiveness of our approach in producing an interpretable combination of models closely resembling the target phenomena.","Tue, 30 Jan 2024 15:53:07 UTC (4,782 KB)"
"27","Robust Functional Data Analysis for Stochastic Evolution Equations in Infinite Dimensions","Dennis Schroers","Methodology (stat.ME)","This article addresses the robust measurement of covariations in the context of solutions to stochastic evolution equations in Hilbert spaces using functional data analysis. For such equations, standard techniques for functional data based on cross-sectional covariances are often inadequate for identifying statistically relevant random drivers and detecting outliers since they overlook the interplay between cross-sectional and temporal structures. Therefore, we develop an estimation theory for the continuous quadratic covariation of the latent random driver of the equation instead of a static covariance of the observable solution process. We derive identifiability results under weak conditions, establish rates of convergence and a central limit theorem based on infill asymptotics, and provide long-time asymptotics for estimation of a static covariation of the latent driver. Applied to term structure data, our approach uncovers a fundamental alignment with scaling limits of covariations of specific short-term trading strategies, and an empirical study detects several jumps and indicates high-dimensional and time-varying covariations.","Mon, 29 Jan 2024 16:46:10 UTC (1,151 KB)"
"28","Contributing Dimension Structure of Deep Feature for Coreset Selection","Zhijing Wan, Zhixiang Wang, Yuran Wang, Zheng Wang, Hongyuan Zhu, Shin'ichi Satoh","Machine Learning (cs.LG)","Coreset selection seeks to choose a subset of crucial training samples for efficient learning. It has gained traction in deep learning, particularly with the surge in training dataset sizes. Sample selection hinges on two main aspects: a sample's representation in enhancing performance and the role of sample diversity in averting overfitting. Existing methods typically measure both the representation and diversity of data based on similarity metrics, such as L2-norm. They have capably tackled representation via distribution matching guided by the similarities of features, gradients, or other information between data. However, the results of effectively diverse sample selection are mired in sub-optimality. This is because the similarity metrics usually simply aggregate dimension similarities without acknowledging disparities among the dimensions that significantly contribute to the final similarity. As a result, they fall short of adequately capturing diversity. To address this, we propose a feature-based diversity constraint, compelling the chosen subset to exhibit maximum diversity. Our key lies in the introduction of a novel Contributing Dimension Structure (CDS) metric. Different from similarity metrics that measure the overall similarity of high-dimensional features, our CDS metric considers not only the reduction of redundancy in feature dimensions, but also the difference between dimensions that contribute significantly to the final similarity. We reveal that existing methods tend to favor samples with similar CDS, leading to a reduced variety of CDS types within the coreset and subsequently hindering model performance. In response, we enhance the performance of five classical selection methods by integrating the CDS constraint. Our experiments on three datasets demonstrate the general effectiveness of the proposed method in boosting existing methods.","Mon, 29 Jan 2024 14:47:26 UTC (1,009 KB)"
