"","title","author","subject","abstract","meta"
"11","A Novel Hybrid Feature Importance and Feature Interaction Detection Framework for Predictive Optimization in Industry 4.0 Applications","Zhipeng Ma, Bo Nørregaard Jørgensen, Zheng Grace Ma","Machine Learning ","Advanced machine learning algorithms are increasingly utilized to provide databased prediction and decisionmaking support in Industry 4.0. However the prediction accuracy achieved by the existing models is insufficient to warrant practical implementation in realworld applications. This is because not all features present in realworld datasets possess a direct relevance to the predictive analysis being conducted. Consequently the careful incorporation of select features has the potential to yield a substantial positive impact on the outcome. To address the research gap this paper proposes a novel hybrid framework that combines the feature importance detector  local interpretable modelagnostic explanations (LIME) and the feature interaction detector  neural interaction detection (NID) to improve prediction accuracy. By applying the proposed framework unnecessary features can be eliminated and interactions are encoded to generate a more conducive dataset for predictive purposes. Subsequently the proposed model is deployed to refine the prediction of electricity consumption in foundry processing. The experimental outcomes reveal an augmentation of up to 9.56% in the R2 score and a diminution of up to 24.05% in the root mean square error.","Mon, 4 Mar 2024 13:22:53 UTC (853 KB)"
"12","Canonical Form of Datatic Description in Control Systems","Guojian Zhan, Ziang Zheng, Shengbo Eben Li","Systems and Control ","The design of feedback controllers is undergoing a paradigm shift from modelic (i.e. modeldriven) control to datatic (i.e. datadriven) control. Canonical form of state space model is an important concept in modelic control systems exemplified by Jordan form controllable form and observable form whose purpose is to facilitate system analysis and controller synthesis. In the realm of datatic control there is a notable absence in the standardization of databased system representation. This paper for the first time introduces the concept of canonical data form for the purpose of achieving more effective design of datatic controllers. In a control system the data sample in canonical form consists of a transition component and an attribute component. The former encapsulates the plant dynamics at the sampling time independently which is a tuple containing three elements a state an action and their corresponding next state. The latter describes one or some artificial characteristics of the current sample whose calculation must be performed in an online manner. The attribute of each sample must adhere to two requirements (1) causality ensuring independence from any future samples; and (2) locality allowing dependence on historical samples but constrained to a finite neighboring set. The purpose of adding attribute is to offer some kinds of benefits for controller design in terms of effectiveness and efficiency. To provide a more closeup illustration we present two canonical data forms temporal form and spatial form and demonstrate their advantages in reducing instability and enhancing training efficiency in two datatic control systems.","Mon, 4 Mar 2024 06:53:38 UTC (3,978 KB)"
"13","On the Model-Agnostic Multi-Source-Free Unsupervised Domain Adaptation","Jiangbo Pei, Ruizhe Li, Qingchao Chen","Machine Learning ","MultiSourceFree Unsupervised Domain Adaptation (MSFDA) aims to transfer knowledge from multiple welllabeled source domains to an unlabeled target domain using source models instead of source data. Existing MSFDA methods limited that each source domain provides only a single model with a uniform structure. This paper introduces a new MSFDA setting ModelAgnostic MultiSourceFree Unsupervised Domain Adaptation (MMDA) allowing diverse source models with varying architectures without quantitative restrictions. While MMDA holds promising potential incorporating numerous source models poses a high risk of including undesired models which highlights the source model selection problem. To address it we first provide a theoretical analysis of this problem. We reveal two fundamental selection principles transferability principle and diversity principle and introduce a selection algorithm to integrate them. Then considering the measure of transferability is challenging we propose a novel SourceFree Unsupervised Transferability Estimation (SUTE). This novel formulation enables the assessment and comparison of transferability across multiple source models with different architectures in the context of domain shift without requiring access to any target labels or source data. Based on the above we introduce a new framework to address MMDA. Specifically we first conduct source model selection based on the proposed selection principles. Subsequently we design two modules to aggregate knowledge from included models and recycle useful knowledge from excluded models. These modules enable us to leverage source knowledge efficiently and effectively thereby supporting us in learning a discriminative target model via adaptation. We validate the effectiveness of our method through numerous experimental results and demonstrate that our approach achieves stateoftheart performance.","Sun, 3 Mar 2024 18:22:39 UTC (16,003 KB)"
"14","MulCogBench: A Multi-modal Cognitive Benchmark Dataset for Evaluating Chinese and English Computational Language Models","Yunhao Zhang, Xiaohan Zhang, Chong Li, Shaonan Wang, Chengqing Zong","Computation and Language ","Pretrained computational language models have recently made remarkable progress in harnessing the language abilities which were considered unique to humans. Their success has raised interest in whether these models represent and process language like humans. To answer this question this paper proposes MulCogBench a multimodal cognitive benchmark dataset collected from native Chinese and English participants. It encompasses a variety of cognitive data including subjective semantic ratings eyetracking functional magnetic resonance imaging (fMRI) and magnetoencephalography (MEG). To assess the relationship between language models and cognitive data we conducted a similarityencoding analysis which decodes cognitive data based on its pattern similarity with textual embeddings. Results show that language models share significant similarities with human cognitive data and the similarity patterns are modulated by the data modality and stimuli complexity. Specifically contextaware models outperform contextindependent models as language stimulus complexity increases. The shallow layers of contextaware models are better aligned with the hightemporalresolution MEG signals whereas the deeper layers show more similarity with the highspatialresolution fMRI. These results indicate that language models have a delicate relationship with brain language representations. Moreover the results between Chinese and English are highly consistent suggesting the generalizability of these findings across languages.","Sat, 2 Mar 2024 07:49:57 UTC (1,450 KB)"
"15","Robotic Process Automation as a Driver for Sustainable Innovation and Entrepreneurship","Petr Prucha","Computers and Society ","Technological innovation plays a crucial role in driving economic growth and development. In this study we investigate the extent to which technological innovation contributes to a more sustainable future and fosters entrepreneurship. To examine this we focus on robotic process automation (RPA) highly relevant technology. We conducted a comprehensive analysis by examining the usage of RPA and its impact on environmental social and governance (ESG) factors. Our research involved gathering data from the 300 largest companies in terms of market capitalization. We assessed whether these companies used RPA and obtained their corresponding ESG ratings. To investigate the relationship between RPA and ESG we employed a contingency table analysis which involved categorizing the data based on ESG ratings. We further used Pearsons Chisquare Test of Independence to assess the impact of RPA on ESG. Our findings revealed a statistically significant association between RPA and ESG ratings indicating their interconnection. The calculated value for Pearsons Chisquare Test of Independence was 6.54 with a corresponding pvalue of 0.0381. This indicates that at a significance level of five percent the RPA and ESG variables depend on each other. These results suggest that RPA representative of modern technologies likely influences the achievement of a sustainable future and the promotion of entrepreneurship. In conclusion our study provides empirical evidence supporting the notion that technological innovations such as RPA have the potential to positively shape sustainability efforts and entrepreneurial endeavours.","Fri, 1 Mar 2024 10:32:48 UTC (279 KB)"
"16","Data-Based Control of Continuous-Time Linear Systems with Performance Specifications","Victor G. Lopez, Matthias A. Müller","Systems and Control ","The design of direct databased controllers has become a fundamental part of control theory research in the last few years. In this paper we consider three classes of databased state feedback control problems for linear systems. These control problems are such that besides stabilization some additional performance requirements must be satisfied. First we formulate and solve a trajectoryreference control problem on which desired closedloop trajectories are known and a controller that allows the system to closely follow those trajectories is computed. Then in the area of databased optimal control we solve two different problems the inverse problem of optimal control and the solution of the LQR problem for continuoustime systems. Finally we consider the case in which the precise position of the desired poles of the closedloop system is known and introduce a databased variant of a robust poleplacement procedure. Although we focus on continuoustime systems all of the presented methods can also be easily formulated for the discretetime case. The applicability of the proposed methods is tested using numerical simulations.","Fri, 1 Mar 2024 10:20:06 UTC (96 KB)"
"17","The Multi-layer Nature of Molecular Gas toward the Cygnus Region","Shiyu Zhang, Yang Su, Xuepeng Chen, Min Fang, Qingzeng Yan, Shaobo Zhang, Yan Sun, Xiaolong Wang, Haoran Feng, Yuehui Ma, Miaomiao Zhang, Zi Zhuang, Xin Zhou, Zhiwei Chen, Ji Yang","Astrophysics of Galaxies ","We study the physical properties and 3D distribution of molecular clouds (MCs) toward the Cygnus region using the MWISP CO survey and Gaia DR3 data. Based on Gaussian decomposition and clustering for $m ^{13}CO$ lines over 70% of the fluxes are recovered. With the identification result of $m ^{13}CO$ structures two models are designed to measure the distances of the molecular gas in velocity crowding regions. The distances of more than 200 large $m ^{13}CO$ structures are obtained toward the 150 square degree region. Additionally tens of the identified MC structures coincide well with masers and/or intense midIR emission. We find multiple gas layers toward the region (1) the extensive gas structures composing the Cygnus Rift from 700 pc to 1 kpc across the whole region; (2) the $sim$ 1.3 kpc gas layer mainly in the Cygnus X South region; and (3) the 1.5 kpc dense filament at the Cygnus X North region and many cometary clouds shaped by Cygnus OB2. We also note that the spatial distribution of YSO candidates is generally consistent with the molecular gas structures. The total molecular mass of the Cygnus region is estimated to be $sim 2.7	imes10^{6}~M_{odot}$ assuming an Xfactor ratio $X_{m CO} = 2 	imes 10^{20} m cm^{2} (Kcdot kmcdot s^{1})^{1}$. The foreground Cygnus Rift contributes $sim$25% of the molecular mass in the whole region. Our work presents a new 3D view of the MCs distribution toward the Cygnus X region as well as the exact molecular gas mass distribution in the foreground Cygnus Rift.","Thu, 29 Feb 2024 19:00:08 UTC (25,636 KB)[v2] Mon, 4 Mar 2024 08:54:02 UTC (25,636 KB)[v3] Tue, 5 Mar 2024 08:33:16 UTC (25,636 KB)"
"18","StiefelGen: A Simple, Model Agnostic Approach for Time Series Data Augmentation over Riemannian Manifolds","Prasad Cheema, Mahito Sugiyama","Machine Learning ","Data augmentation is an area of research which has seen active development in many machine learning fields such as in imagebased learning models reinforcement learning for self driving vehicles and general noise injection for point cloud data. However convincing methods for general time series data augmentation still leaves much to be desired especially since the methods developed for these models do not readily crossover. Three common approaches for time series data augmentation include (i) Constructing a physicsbased model and then imbuing uncertainty over the coefficient space (for example) (ii) Adding noise to the observed data set(s) and (iii) Having access to ample amounts of time series data sets from which a robust generative neural network model can be trained. However for many practical problems that work with time series data in the industry (i) One usually does not have access to a robust physical model (ii) The addition of noise can in of itself require large or difficult assumptions (for example what probability distribution should be used? Or how large should the noise variance be?) and (iii) In practice it can be difficult to source a large representative time series data base with which to train the neural network model for the underlying problem. In this paper we propose a methodology which attempts to simultaneously tackle all three of these previous limitations to a large extent. The method relies upon the wellstudied matrix differential geometry of the Stiefel manifold as it proposes a simple way in which time series signals can placed on and then smoothly perturbed over the manifold. We attempt to clarify how this method works by showcasing several potential use cases which in particular work to take advantage of the unique properties of this underlying manifold.","Thu, 29 Feb 2024 15:52:21 UTC (43,943 KB)"
"19","Robust Guidance for Unsupervised Data Selection: Capturing Perplexing Named Entities for Domain-Specific Machine Translation","Seunghyun Ji, Hagai Raja Sinulingga, Darongsae Kwon","Computation and Language ","Employing extensive datasets enables the training of multilingual machine translation models; however these models often fail to accurately translate sentences within specialized domains. Although obtaining and translating domainspecific data incurs high costs it is inevitable for highquality translations. Hence finding the most effective data with an unsupervised setting becomes a practical strategy for reducing labeling costs. Recent research indicates that this effective data could be found by selecting properly difficult data based on its volume. This means the data should not be excessively challenging or overly simplistic especially if the amount of data is limited. However we found that establishing a criterion for unsupervised data selection remains challenging as the proper difficulty might vary based on the data domain being trained on. We introduce a novel unsupervised data selection method Capturing Perplexing Named Entities which adopts the maximum inference entropy in translated named entities as a selection measure. The motivation was that named entities in domainspecific data are considered the most complex portion of the data and should be predicted with high confidence. When verified with the KoreanEnglish Parallel Corpus of Specialized Domains our method served as a robust guidance for unsupervised data selection in contrast to existing methods.","Thu, 29 Feb 2024 15:38:28 UTC (319 KB)"
"20","Extracting quantum-critical properties from directly evaluated enhanced perturbative continuous unitary transformations","L. Schamriß, M.R. Walther, K.P. Schmidt","Strongly Correlated Electrons ","Directly evaluated enhanced perturbative continuous unitary transformations (deepCUTs) are used to calculate nonperturbatively extrapolated numerical data for the groundstate energy and the energy gap. The data coincides with the perturbative series up to the order with respect to which the deepCUT is truncated. We develop a general scheme to extract quantumcritical properties from the deepCUT data based on critical scaling and a strict correspondence between the truncation used for deepCUT and the length scale of correlations at the critical point. We apply our approach to transversefield Ising models (TFIMs) as paradigmatic systems for quantum phase transitions of various universality classes depending on the lattice geometry and the choice of antiferromagnetic or ferromagnetic coupling. In particular we focus on the quantum phase diagram of the bilayer antiferromagnetic TFIM on the triangular lattice with an Isingtype interlayer coupling. Without a field the model is known to host a classically disordered ground state and in the limit of decoupled layers it exhibits the 3dXY order by disorder transition of the corresponding singlelayer model. Our starting point for the unknown parts of the phase diagram is a highorder perturbative calculation about the limit of isolated dimers where the model is in a gapped phase.","Thu, 29 Feb 2024 09:43:54 UTC (2,112 KB)"
"21","CHEX-MATE: Robust reconstruction of temperature profiles in galaxy clusters with XMM-Newton","M. Rossetti, D. Eckert, F. Gastaldello, E. Rasia, G.W. Pratt, S. Ettori, S. Molendi, M. Arnaud, M. Balboni, I. Bartalucci, R.M. Batalha, S. Borgani, H. Bourdin, S. De Grandi, F. De Luca, M. De Petris, W. Forman, M. Gaspari, S. Ghizzardi, A. Iqbal, S. Kay, L. Lovisari, B.J. Maughan, P. Mazzotta, E. Pointecouteau, G. Riva, J. Sayers, M. Sereno","Cosmology and Nongalactic Astrophysics ","The Cluster HEritage project with xmm Mass Assembly and Thermodynamics at the Endpoint of structure formation (CHEXMATE) is a multiyear Heritage program to obtain homogeneous XMMNewton observations of a representative sample of 118 galaxy clusters. The observations are tuned to reconstruct the distribution of the main thermodynamic quantities of the ICM up to $R_{500}$ and to obtain individual mass measurements via the hydrostaticequilibrium equation with a precision of 1520%. Temperature profiles are a necessary ingredient for the scientific goals of the project and it is thus crucial to derive the best possible temperature measurements from our data. This is why we have built a new pipeline for spectral extraction and analysis of XMMNewton data based on a new physically motivated background model and on a Bayesian approach with Markov Chain Monte Carlo (MCMC) methods that we present in this paper for the first time. We applied this new method to a subset of 30 galaxy clusters representative of the CHEXMATE sample and show that we can obtain reliable temperature measurements up to regions where the source intensity is as low as 20% of the background keeping systematic errors below 10%. We compare the median profile of our sample and the best fit slope at large radii with literature results and we find a good agreement with other measurements based on XMMNewton data. Conversely when we exclude from our analysis the most contaminated regions where the source intensity is below 20 of the background we find significantly flatter profiles in agreement with predictions from numerical simulations and independent measurements with a combination of SunyaevZeldovich and Xray imaging data.","Wed, 28 Feb 2024 19:01:00 UTC (19,358 KB)"
"22","Formalized Identification Of Key Factors In Safety-Relevant Failure Scenarios","Tim Maurice Julitz, Nadine Schlüter, Manuel Löwer","Software Engineering ","This research article presents a methodical databased approach to systematically identify key factors in safetyrelated failure scenarios with a focus on complex productenvironmental systems in the era of Industry 4.0. The study addresses the uncertainty arising from the growing complexity of modern products. The method uses scenario analysis and focuses on failure analysis within technical product development. The approach involves a derivation of influencing factors based on information from failure databases. The failures described here are documented individually in failure sequence diagrams and then related to each other in a relationship matrix. This creates a network of possible failure scenarios from individual failure cases that can be used in product development. To illustrate the application of the methodology a case study of 41 Rapex safety alerts for a hair dryer is presented. The failure sequence diagrams and influencing factor relationship matrices show 46 influencing factors that lead to safetyrelated failures. The predominant harm is burns and electric shocks which are highlighted by the active and passive sum diagrams. The research demonstrates a robust method for identifying key factors in safetyrelated failure scenarios using information from failure databases. The methodology provides valuable insights into product development and emphasizes the frequency of influencing factors and their interconnectedness.","Wed, 28 Feb 2024 09:28:36 UTC (2,903 KB)"
"23","Generation and analysis of synthetic data via Bayesian networks: a robust approach for uncertainty quantification via Bayesian paradigm","Larissa N. A. Martins, Flávio B. Gonçalves, Thais P. Galletti","Methodology ","Safe and reliable disclosure of information from confidential data is a challenging statistical problem. A common approach considers the generation of synthetic data to be disclosed instead of the original data. Efficient approaches ought to deal with the tradeoff between reliability and confidentiality of the released data. Ultimately the aim is to be able to reproduce as accurately as possible statistical analysis of the original data using the synthetic one. Bayesian networks is a modelbased approach that can be used to parsimoniously estimate the underlying distribution of the original data and generate synthetic datasets. These ought to not only approximate the results of analyses with the original data but also robustly quantify the uncertainty involved in the approximation. This paper proposes a fully Bayesian approach to generate and analyze synthetic data based on the posterior predictive distribution of statistics of the synthetic data allowing for efficient uncertainty quantification. The methodology makes use of probability properties of the model to devise a computationally efficient algorithm to obtain the target predictive distributions via Monte Carlo. Model parsimony is handled by proposing a general class of penalizing priors for Bayesian network models. Finally the efficiency and applicability of the proposed methodology is empirically investigated through simulated and real examples.","Tue, 27 Feb 2024 22:07:12 UTC (166 KB)[v2] Fri, 1 Mar 2024 00:49:37 UTC (166 KB)"
"24","Are LLMs Capable of Data-based Statistical and Causal Reasoning? Benchmarking Advanced Quantitative Reasoning with Data","Xiao Liu, Zirui Wu, Xueqing Wu, Pan Lu, Kai-Wei Chang, Yansong Feng","Computation and Language ","Quantitative reasoning is a critical skill to analyze data yet the assessment of such ability remains limited. To address this gap we introduce the Quantitative Reasoning with Data (QRData) benchmark aiming to evaluate Large Language Models capability in statistical and causal reasoning with realworld data. The benchmark comprises a carefully constructed dataset of 411 questions accompanied by data sheets from textbooks online learning materials and academic papers. To compare models quantitative reasoning abilities on data and text we enrich the benchmark with an auxiliary set of 290 textonly questions namely QRText. We evaluate natural language reasoning programbased reasoning and agent reasoning methods including ChainofThought ProgramofThoughts ReAct and code interpreter assistants on diverse models. The strongest model GPT4 achieves an accuracy of 58% which has a large room for improvement. Among opensource models Deepseekcoderinstruct a code LLM pretrained on 2T tokens gets the highest accuracy of 37%. Analysis reveals that models encounter difficulties in data analysis and causal reasoning and struggle in using causal knowledge and provided data simultaneously. Code and data are in this https URL.","Tue, 27 Feb 2024 16:15:03 UTC (8,094 KB)"
"25","Robust Radiotherapy Planning with Spatially Based Uncertainty Sets","Noam Goldberg, Mark P. Langer, Shimrit Shtern","Optimization and Control ","Radiotherapy treatment planning is a challenging largescale optimization problem plagued by uncertainty. Following the robust optimization methodology we propose a novel spatially based uncertainty set for robust modeling of radiotherapy planning producing solutions that are immune to unexpected changes in biological conditions. Our proposed uncertainty set realistically captures biological radiosensitivity patterns that are observed using recent advances in imaging while its parameters can be personalized for individual patients. We exploit the structure of this set to devise a compact reformulation of the robust model. We develop a rowgeneration scheme to solve real largescale instances of the robust model. This method is then extended to a relaxationbased scheme for enforcing challenging yet clinically important dosevolume cardinality constraints. The computational performance of our algorithms as well as the quality and robustness of the computed treatment plans are demonstrated on simulated and real imaging data. Based on accepted performance measures such as minimal target dose and homogeneity these examples demonstrate that the spatially robust model achieves almost the same performance as the nominal model in the nominal scenario and otherwise the spatial model outperforms both the nominal and the boxuncertainty models.","Mon, 26 Feb 2024 21:44:56 UTC (7,294 KB)"
